num,section,text
1,Project Sponsor,
2,Stakeholders*,
3,Project Description*,
4,Audience*,
5,Impact*,
6,Project Term Start*,
7,Project Term End*,
8,Time Constraints,
9,Major Project Milestones*,
10,Project Copyright & Licensing*,
11,Digital Project Active Development Storage*,
1,Deliverables*,
2,Objectives*,
3,Digital Platform User Assessment*,
4,Classroom Learning Outcomes,
5,Classroom Learning Assessment,
6,Research Outcomes,
7,Research Assessment,
8,Digital Project Reuse,
1,Project Team Members*,
2,Project Team Constraints,
1,Budget*,
2,Budget Constraints,
3,External Grant Funding,
1,Team Communications,
2,Sponsor Communications,
3,Project Completion Communication,
1,Digital Platform*,
2,Digital Platform Access Permissions Granting*,
3,Digital Platform Access Permissions Revoking*,
4,Digital Platform Hosting*,
5,Digital Platform Accessibility,
6,Streaming Digital Assets Hosting*,
7,Streaming Digital Assets Hosting Access*,
8,Streaming Digital Assets Hosting Revoking*,
9,Equipment*,
10,Technology Constraints,
1,Digitization*,
2,Born-digital files*,
3,File Formats Types & Quantity*,
4,Digital Asset Collection Size*,
5,Digital Collection Metadata Scheme*,
6,Digital Collection Controlled Vocabularies*,
7,Digital Assets Access*,
8,Copyright & Licensing*,
9,Accessible Digital Assets,
1,Physical Special Collections & Archives*,
2,Digital Collections & Archives*,
1,IRB (Institutional Review Board) Study Number,
2,HIPAA (Human Insurance Portability and Accountability Act),
3,FERPA (Family Educational Rights and Privacy Act of 1974),
1,Target audiences,
2,Outreach Materials,
3,Promotional tactics,
4,Project Celebration,
1,Continued Development Next Steps*,
2,Sustaining the Digital Project Record,
3,Sustainability Roles & Responsibilities,
