type,date,title,location,link,priority,people,
cfp,2019-09-30,"Library Technology: Innovating Technologies, Services and Practices - Special Issue of College & Undergraduate Libraries",n/a,http://librarywriting.blogspot.com/2019/08/cfp-library-technology-innovating.html,med,dbecker; ewilliamson; omwikle;jylisadoney;jessicamartinez,marco? rami?
cfp,2019-10-06,Code4Lib Workshops Application,"Pittsburgh, PA",https://docs.google.com/forms/d/e/1FAIpQLScx95r2tJExNVDkBOdKdKe2jKij7lHhTcja7aXgDS1z9mmFPQ/viewform,high,,
workshop,2020-03-08,Code4Lib Workshops,"Pittsburgh, PA",https://docs.google.com/forms/d/e/1FAIpQLScx95r2tJExNVDkBOdKdKe2jKij7lHhTcja7aXgDS1z9mmFPQ/viewform,high,,
cfp,2019-10-07,CNI Fall CFP,"Washington, DC",https://www.cni.org/news/call-for-proposals-cni-fall-19-meeting,med,?,
conference,2019-12-09,CNI Fall,"Washington, DC",https://www.cni.org/news/call-for-proposals-cni-fall-19-meeting,med,?,
cfp,2019-10-15,DH 2020 CFP,"Ottawa, ON (Canada)",http://dh2020.adho.org/guidelines/submission-guidelines/,high,dbecker; ewilliamson; omwikle;jylisadoney;,
conference,2020-07-22,DH 2020,"Ottawa, ON (Canada)",http://dh2020.adho.org/guidelines/submission-guidelines/,high,dbecker; ewilliamson; omwikle;jylisadoney;,
cfp,2019-10-30,Special Issue: DH + Literacies Proposal,n/a,https://acrl.ala.org/dh/2019/09/04/cfp-exploring-literacies-through-digital-humanities/,med,,
grant,2019-10-31,CollectionsasData Cohort 2,tbd,https://collectionsasdata.github.io/part2whole/cfp/,high,dbecker;ewilliamson;omwikle;leahe,
cfp,2019-11-01,GlobalDH CFP,"Lansing, MI",http://www.msuglobaldh.org/cfp/,med,,
conference,2020-03-26,GlobalDH,"Lansing, MI",http://www.msuglobaldh.org/cfp/,med,,
cfp,2019-11-22,Designing for Digital CFP,"Austin, TX",http://designingfordigital.com/speaking-opportunities/,low,,
conference,2020-03-09,Designing for Digital,"Austin, TX",http://designingfordigital.com/speaking-opportunities/,low,,
cfp,2019-11-22,Digital Initiatives CFP,"San Diego, CA",https://digital.sandiego.edu/symposium/,low,,
conference,2020-04-27,Digital Initiatives,"San Diego, CA",https://digital.sandiego.edu/symposium/,low,,
conference,2020-03-08,Code4Lib,"Pittsburgh, PA",tbd,tbd,,
conference,2020-03-27,Online NW,"Portland, OR",https://onlinenorthwest.org/,tbd,,
conference,2020-03-31,CNI Spring,"San Diego, CA",,tbd,,
deadline,2019-12-20,CollectionBuilder Pedagogy Article Internal Deadline,n/a,DHQ?,med,dbecker; ewilliamson; omwikle,
project-start,2019-09-01,Start Date,,,,dbecker; ewilliamson; omwikle;jylisadoney;,
project-end,2020-08-31,End Date,,,,dbecker; ewilliamson; omwikle;jylisadoney;,
milestone,2019-10-13,DLF Workshop,,,,dbecker; ewilliamson; omwikle,
milestone,2019-10-14,DLF Presentation,,,,dbecker; ewilliamson; omwikle,
